id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9911639,MADRID CENTRO. DUPLEX CON TERRAZA,20888962,Felipe,Centro,Universidad,40.42455,-3.70358,Entire home/apt,60,5,30,2019-04-10,0.64,1,32
9913389,RASTRO STUDIO,1408525,Mad4Rent,Centro,Embajadores,40.40964,-3.70395,Entire home/apt,66,4,24,2019-09-29,0.55,56,327
9916216,Habitación/Double Bed,32971833,Sara,Ciudad Lineal,Quintana,40.43408,-3.65282,Private room,45,1,14,2019-11-04,0.31,2,309
9924080,Comfortable single room,46064960,Rafael,Puente de Vallecas,San Diego,40.38717,-3.66795,Private room,18,30,3,2019-02-27,0.07,5,312
9932321,Corporate Apartment DAY II,1650712,Ximena,Chamartín,Hispanoamérica,40.45364,-3.67792,Entire home/apt,138,3,4,2018-12-03,0.10,26,332
9935338,Modern 2 bedroom flat next Retiro,48340394,Max,Retiro,Ibiza,40.41609,-3.67677,Entire home/apt,132,150,21,2019-04-03,0.48,1,31
9938057,Duplex for 2/4 pax at Puerta de Sol,51078368,Jose Luis,Centro,Sol,40.41579,-3.70566,Entire home/apt,69,3,107,2019-10-20,2.28,1,49
9940226,Luxury apartment GRAN VIA / CALLAO,48874758,Pedro,Centro,Sol,40.41963,-3.70684,Entire home/apt,190,3,224,2019-11-02,4.77,3,311
9940790,CENTER/OPERA. Lift. A/C. WiFi. Steps to PlazaMayor,41731653,Jose Maria,Centro,Sol,40.41679,-3.70838,Entire home/apt,70,2,345,2019-11-06,7.34,5,245
9941810,Cheapest Room in Center of Madrid,19046031,Daniel,Latina,Puerta del Angel,40.41273,-3.72523,Private room,15,1,6,2016-01-10,0.13,1,0
9948875,Golden Mile Cozy Stylish Apartment,51127160,Maria Cruz,Salamanca,Castellana,40.42935,-3.68526,Entire home/apt,90,2,33,2019-09-25,0.73,1,90
9950008,Double Room in Lavapiés,4899642,Dani&Ángela,Centro,Embajadores,40.40673,-3.70092,Private room,38,2,277,2019-10-26,5.91,2,131
9950784,Sunny and very comfortable double room,5905260,Ghaleb,Ciudad Lineal,Concepción,40.43474,-3.65801,Private room,25,15,7,2017-09-10,0.15,3,343
9951469,Dúplex Studio Modern + Comfortable,51140959,Mar,Centro,Justicia,40.42296,-3.69804,Entire home/apt,50,2,143,2019-10-30,3.12,1,169
9952708,Nice bedroom in nice flat - full centre - 2,10283018,Lowa,Centro,Palacio,40.42169,-3.7131,Private room,15,3,4,2016-06-26,0.09,1,0
9959387,1-8.Las Cortes.Sol.Madrid Center. 70m2.Bright.A.C.,51176570,Mar,Centro,Cortes,40.4154,-3.6988,Entire home/apt,115,2,251,2019-11-04,5.69,6,26
9965402,"At Home in Madrid 6, Huertas, Prado",31509536,Gorete,Centro,Cortes,40.41508,-3.70155,Entire home/apt,78,2,58,2019-10-17,1.31,9,269
9969698,Estudio totalmente equipado.,51230196,Jorge,Tetuán,Castillejos,40.46438,-3.69275,Private room,45,3,0,,,1,0
9974417,Great studio in the main center of Madrid.,51165124,Christophe  Et Elena,Centro,Universidad,40.4218,-3.70246,Entire home/apt,66,2,170,2019-11-03,3.59,1,307
9974530,Apartamento El Rastro 2,40620794,Carmen,Centro,Embajadores,40.40805,-3.70941,Entire home/apt,270,2,64,2019-10-28,1.44,3,315
9974641,Bright & cozy -1 BD City Center (La Latina),8244614,Mad About You,Centro,Embajadores,40.41149,-3.70748,Entire home/apt,69,3,91,2019-10-12,1.94,20,202
9977208,Simple Room,1410233,Adriana,Latina,Aluche,40.39087,-3.76179,Private room,22,3,82,2019-10-31,1.82,3,320
9982157,PISO GRANDE/CENTRO MADRID WIFI,38143510,Margarita,Centro,Embajadores,40.41245,-3.70336,Entire home/apt,50,2,175,2019-11-02,3.83,1,270
9982526,Super Room in the city center,12527455,Maria,Centro,Universidad,40.42557,-3.70943,Private room,35,2,134,2019-07-18,2.83,1,111
9982653,Piso exclusivo Chamartín,7906474,Maria,Chamartín,Nueva España,40.46161,-3.67935,Entire home/apt,120,1,0,,,1,0
9982683,Habitacion centrica y confortable en pleno centro.,23491551,Alfred,Centro,Universidad,40.42163,-3.70242,Private room,45,2,205,2019-10-26,4.36,1,0
9987865,Con transporte conveniente,39267929,Weihong,Centro,Sol,40.41646,-3.70481,Entire home/apt,65,1,0,,,1,0
9991044,"Alquiler habitacion c. sangenjo, 12",49178744,Andrea,Fuencarral - El Pardo,La Paz,40.48458,-3.70328,Private room,15,20,2,2019-08-30,0.45,1,320
10005860,Nice sunny apartment in Madrid,1415413,Valery,Latina,Puerta del Angel,40.40785,-3.73415,Entire home/apt,44,3,74,2019-09-29,1.61,1,125
10017799,"habitación individual, con baño",29085468,Yolanda,Arganzuela,Delicias,40.39622,-3.68211,Private room,59,2,6,2019-10-24,0.24,1,365
10031358,Magnífico apartamento en Malasaña,2931421,Daniel,Centro,Universidad,40.4225,-3.70628,Entire home/apt,140,2,143,2019-10-26,3.08,10,18
10038368,ATICO FUENCARRAL HORTALEZA. TRANQUILO Y ACOGEDOR,50306084,Felipe,Centro,Justicia,40.42064,-3.70104,Entire home/apt,77,7,2,2018-07-08,0.11,1,96
10047684,Centro de Madrid!!!,14314106,Natalia,Centro,Embajadores,40.40954,-3.69892,Private room,55,1,41,2019-11-09,2.17,1,360
10048277,Cool Room,1410233,Adriana,Latina,Aluche,40.39234,-3.76383,Private room,25,3,88,2019-11-05,1.87,3,326
10051487,"Caixa Forum - NIce Apartment, perfect location!",3919700,Maria,Centro,Cortes,40.41113,-3.69399,Entire home/apt,60,3,18,2019-11-09,0.40,2,7
10052073,Bernabeu Cuzco Castellana Apartment with NETFLIX,51588646,Miguel,Tetuán,Castillejos,40.45925,-3.69362,Entire home/apt,140,2,70,2019-10-23,1.55,1,166
10052652,New luxury Puerta del Sol,51592261,"Catamarina Corporacion, S.L.U.",Centro,Sol,40.4179,-3.70617,Entire home/apt,305,2,132,2019-10-11,2.81,2,237
10062701,"Beautyfull apartment, Plaza Santa Ana, center",14750784,Juanjo,Centro,Cortes,40.41462,-3.69905,Entire home/apt,91,1,190,2019-10-25,4.11,1,324
10064178,The best in the heart of Madrid,7667680,Amina,Centro,Embajadores,40.40867,-3.70182,Entire home/apt,42,3,0,,,1,0
10066686,Apartment Mayor,51647919,Jose Luis,Centro,Sol,40.41483,-3.70718,Entire home/apt,99,2,182,2019-10-17,4.01,6,28
10070266,Semiloft en Gran Via / Malasaña,51644832,Jose-Antonio,Centro,Universidad,40.42056,-3.70468,Entire home/apt,60,3,7,2017-01-30,0.15,1,0
10079445,Smart Room en LATINA,47923936,Karmen,Centro,Palacio,40.40955,-3.71138,Private room,39,1,164,2019-10-18,3.64,9,184
10081378,Comfortable Room with bath for  1 or 2 people.,51683642,Raúl,Villaverde,San Andrés,40.35274,-3.7064,Private room,25,1,6,2019-10-11,0.16,1,146
10082181,Piso ideal en el Corazon de Madrid,46130675,María José,Centro,Universidad,40.42237,-3.70106,Entire home/apt,89,3,130,2019-11-06,2.78,1,336
10082400,Apartamento Chamberí,51736845,Daniel,Chamberí,Rios Rosas,40.43863,-3.69404,Entire home/apt,61,4,82,2019-07-29,2.19,4,295
10095298,APARTAMENTO FUENCARRAL,51804997,Eva,Centro,Justicia,40.42217,-3.69969,Entire home/apt,100,7,1,2016-01-03,0.02,1,324
10098726,Puente Segovía (Distrito Latina) IN,44266174,Rosa,Latina,Puerta del Angel,40.41163,-3.72428,Private room,25,2,18,2019-10-01,0.39,1,141
10100106,Javescuadra2,47908392,Javier,Centro,Embajadores,40.40934,-3.69962,Entire home/apt,60,2,90,2019-11-03,2.05,2,346
10110286,GRAN VIA CENTRO APARMENT 39 PUERTA DE SOL MALASAÑA,5542111,Melvin Enrique,Centro,Universidad,40.42039,-3.70273,Entire home/apt,81,1,148,2019-11-03,3.15,60,314
10120568,Cosy room in the center of Madrid.,51936850,Ana,Carabanchel,Opañel,40.39644,-3.71522,Private room,20,3,0,,,1,0
10130390,Apartment in SOL,51988528,Santiago,Centro,Sol,40.41978,-3.70105,Entire home/apt,55,2,177,2019-10-26,3.77,1,210
10138001,Quiet flat in city centre - aircon,13471137,Roberto,Centro,Palacio,40.4122,-3.71343,Entire home/apt,90,3,14,2019-11-03,0.30,2,292
10144206,Bonita Habitación en Madrid,51892899,Eneyda,Ciudad Lineal,Concepción,40.43277,-3.65563,Private room,18,1,0,,,1,0
10144509,Casa llena de color,28207769,Mily,Ciudad Lineal,San Pascual,40.44171,-3.6511,Private room,25,7,6,2019-06-08,0.13,2,322
10146593,"""La Corralita"" historic & ecological Apartment",11385250,Montse,Centro,Embajadores,40.4128,-3.70335,Entire home/apt,91,1,28,2019-11-03,0.69,3,254
10151490,Piso,52100521,Paula,Puente de Vallecas,San Diego,40.39754,-3.66944,Entire home/apt,15,1,0,,,1,0
10173465,Dúplex Centro Chueca.,7323066,Salvador,Centro,Justicia,40.42207,-3.69892,Private room,50,2,44,2019-10-05,0.95,1,71
10174339,Apartamento en Malasaña,8578326,Arantza,Centro,Universidad,40.42566,-3.70124,Entire home/apt,70,1,35,2019-04-24,0.76,2,194
10175363,LOCATION . LOCATION . LOCATION (F42),14077633,Luis,Centro,Justicia,40.42228,-3.70001,Entire home/apt,69,1,261,2019-10-29,5.57,3,307
10182539,HABITACIÓN enÁTICOconVISTAS-CENTRO,6072314,Angeles,Centro,Palacio,40.41035,-3.70927,Private room,50,3,7,2019-10-04,0.21,6,306
10182596,HABITACIÓN DOBLE. CENTRO. LA LATINA,6072314,Angeles,Centro,Embajadores,40.4094,-3.70856,Private room,50,2,31,2019-10-01,0.66,6,355
10188918,CENTRO. Bonito piso en la Latina.,8631060,Daniel Y Gloria,Centro,Palacio,40.40946,-3.70995,Entire home/apt,100,4,31,2019-10-27,0.66,2,8
10189892,"Centro de Madrid coqueto y funcional,WIFI VT-2170",39064804,Maria Gabriela,Centro,Embajadores,40.40869,-3.70161,Entire home/apt,50,1,64,2019-06-30,1.44,1,0
10190052,Cosy Apartment in Chueca,12030420,Ignacio & Diego MyCityHome,Chamberí,Almagro,40.43222,-3.69536,Entire home/apt,33,1,69,2019-10-11,1.51,38,21
10192147,"ATOCHA CITY CENTER:COZY, SUNNY, RELAX,WIFI,18 m2",43063704,Tom,Arganzuela,Palos de Moguer,40.40158,-3.6901,Entire home/apt,39,3,90,2019-10-19,2.35,3,61
10199228,Precioso Apto. a un paso de Atocha!!!!,27774629,Paty&Karen,Centro,Cortes,40.41079,-3.69486,Entire home/apt,85,2,229,2019-10-20,4.91,1,56
10201049,COMFORTABLE  HOUSE IN THE CENTER,50393609,Fikrya,Centro,Embajadores,40.41056,-3.70118,Private room,27,2,302,2019-10-25,6.64,2,54
10201245,MaMeMi: Madrid Mercado San Miguel.,4800628,Raquel,Centro,Palacio,40.41458,-3.70964,Entire home/apt,135,6,1,2019-11-01,1,1,0
10201661,LAVAPIÉS MINIMALIST STUDIO,26346310,Chuspita,Centro,Embajadores,40.40844,-3.69897,Entire home/apt,49,1,81,2017-10-29,1.93,2,20
10206299,Apartment Callao/Gran Vía,3626994,Eduardo,Centro,Universidad,40.42149,-3.70479,Entire home/apt,100,2,0,,,1,0
10207661,Excellent double room,46064960,Rafael,Puente de Vallecas,San Diego,40.38615,-3.66648,Private room,12,60,1,2017-10-02,0.04,5,252
10218330,WONDERFULL VIEWS AND PRIME LOCATION IN MADRID!!!!,15819228,Genteelhome,Centro,Palacio,40.42017,-3.71263,Entire home/apt,370,1,9,2019-05-22,0.24,1,212
10218953,Habitación individual mona,3360175,Cornelia,San Blas - Canillejas,Rosas,40.4312,-3.60369,Private room,40,1,10,2019-11-03,1.86,4,361
10221165,Ático en Chamberí,51736845,Daniel,Chamberí,Rios Rosas,40.43922,-3.69571,Entire home/apt,70,4,95,2019-09-30,2.53,4,273
10238470,"Sunny, cosy room in peaceful zone 15 mins from Sol",135579,Andrea,Chamberí,Rios Rosas,40.44292,-3.69993,Private room,30,2,58,2019-11-03,1.36,1,133
10242664,Piso Cómodo y Luminoso muy bien comunicado,1410233,Adriana,Latina,Aluche,40.3941,-3.76286,Entire home/apt,98,5,17,2019-07-10,0.37,3,316
10248475,Moderno estudio para 3pax- GRAN VÍA- 22M2,13462483,Jorge,Centro,Universidad,40.42057,-3.70318,Entire home/apt,60,3,56,2019-11-04,6.32,1,137
10258948,Delicious room in the heart of  Madrid,21725728,Maria,Centro,Universidad,40.42328,-3.70806,Private room,32,1,118,2018-09-15,2.57,2,48
10260390,Spectacular penthouse - B. de Braganza I,32046323,Juan,Centro,Justicia,40.42184,-3.69389,Entire home/apt,310,30,1,2016-05-26,0.02,85,312
10262700,Amazing Apartament in Malasaña.,4556288,RockEm,Centro,Universidad,40.42475,-3.70361,Entire home/apt,55,1,0,,,1,0
10264484,Beautiful Flat in Madrid Center,52771278,Luis,Centro,Sol,40.41746,-3.70761,Entire home/apt,140,2,123,2019-10-27,2.66,2,0
10275785,Apart-Hotel Jardines de Sabatini***,52847482,Jardines De Sabatini,Moncloa - Aravaca,Argüelles,40.4217,-3.71556,Hotel room,195,1,4,2018-07-13,0.09,1,338
10281406,Bajo - jardín privado CC Plenilunio,464858,Amanda,San Blas - Canillejas,Rejas,40.44634,-3.58708,Private room,40,1,59,2019-09-28,1.30,1,296
10286663,"Cozy Studio IFEMA. Gym, garden, pool and wifi...",52908134,Coral,Hortaleza,Piovera,40.45824,-3.62686,Entire home/apt,76,4,62,2019-10-31,1.40,1,296
10292503,Habitación bonita y céntrica.,8631060,Daniel Y Gloria,Centro,Palacio,40.41072,-3.71059,Private room,30,2,148,2019-10-17,3.21,2,0
10307340,ARGÜELLES ROYAL PALACE 2 ENSUITE  BATHS 2 BR WIFI,27607042,Alfonso,Moncloa - Aravaca,Argüelles,40.43265,-3.71916,Entire home/apt,130,7,10,2019-10-18,0.34,4,294
10311386,Tu hogar en Madrid,53056350,Mayte,Moratalaz,Vinateros,40.40353,-3.64251,Private room,25,1,13,2019-10-24,0.35,1,265
10326736,Habitación estudio en Arturo Soria,53138239,Virginia,Ciudad Lineal,Colina,40.45917,-3.65823,Private room,32,2,52,2019-11-03,1.24,2,85
10327338,Great apartment in the center/wifi,53142189,Dani Y Maru,Centro,Universidad,40.42239,-3.70283,Entire home/apt,47,2,142,2019-10-22,3.06,1,314
10330171,Precioso apartamento en el centro,21430840,Carla,Centro,Universidad,40.42687,-3.70733,Entire home/apt,110,4,5,2019-10-03,0.74,1,70
10353002,El Loft de San Juan,35238495,Marta,Centro,Universidad,40.42794,-3.71015,Entire home/apt,60,2,11,2019-07-08,0.52,2,73
10362376,"Hab Simple/doble/triple, Ext. Smart TV, WiFi",52454284,Alberto,Usera,Almendrales,40.38471,-3.70418,Private room,24,1,42,2019-10-21,0.91,1,362
10371099,ROOM ONLY FOR GIRLS,29994572,Kev,Chamberí,Trafalgar,40.43294,-3.70198,Private room,28,1,67,2019-10-13,1.43,1,343
10374268,Sofa bed in the living room,34274924,Alfonso,Puente de Vallecas,Numancia,40.39794,-3.6668,Shared room,100,2,18,2018-07-01,0.39,1,0
10377809,Apartamento luminoso con parking,12676964,Elisa,Tetuán,Cuatro Caminos,40.44769,-3.70269,Entire home/apt,75,3,132,2019-10-13,2.84,3,67
10396549,Casa Blanca con mucha energía!!!,29328409,Ana,Centro,Sol,40.41544,-3.70499,Entire home/apt,59,1,296,2019-11-03,6.78,2,219
